Team,"Player
Ratings",Level,Region,Category,Arm,Batting_Pos,Bowling_Style,"Matches
 Played",Runs,Wickets,Strike Rate,Players,Price(RS),Age,Birth_Date,Country
GT,9,Capped,Overseas,Batter,Right,Opener,Can't Bowl,58,1569,0,143,Jason Roy,20.00M,28,1995-09-13,England
GT,8,Capped,Domestic,Wicket_Keeper,Right,Opener,Can't Bowl,133,2110,0,128,Wriddhiman Saha,19.00M,36,1988-02-09,India
GT,8.5,Capped,Domestic,All_Rounder,Right,Tailender,Spinner,19,50,8,105,Jayant Yadav,17.00M,38,1985-11-02,India
GT,8.5,Capped,Domestic,All_Rounder,Right,Middle,Seamer,47,982,12,126,Vijay Shankar,14.00M,32,1991-06-15,India
GT,8,Capped,Overseas,All_Rounder,Left,Middle,Seamer,5,20,3,124,Dominic Drakes,11.00M,25,1999-01-22,West Indies
GT,7,Uncapped,Domestic,All_Rounder,Right,Tailender,Spinner,41,571,6,133,Gurkeerat Singh,5.00M,26,1997-10-20,India
GT,7,Capped,Domestic,Bowler,Right,Tailender,Seamer,50,30,42,121,Varun Aaron,5.00M,33,1990-04-03,India
GT,7,Uncapped,Domestic,Bowler,Left,Tailender,Spinner,0,0,0,100,Noor Ahmed,3.00M,33,1990-11-19,India
GT,7,Uncapped,Domestic,All_Rounder,Right,Tailender,Spinner,0,0,0,100,Darshan Nalkande,2.00M,29,1994-09-14,India
GT,7,Uncapped,Domestic,All_Rounder,Right,Tailender,Seamer,39,50,35,100,Pradeep Sangwan,2.00M,28,1995-07-22,India
KKR,10,Capped,Domestic,Batter,Right,Middle,Can't Bowl,188,3061,0,160,Shreyas Iyer,122.50M,34,1989-11-17,India
KKR,10,Capped,Overseas,All_Rounder,Right,Middle,Seamer,84,1810,97,178,Andre Russell,120.00M,37,1986-07-23,West Indies
KKR,9.5,Capped,Domestic,Bowler,Right,Tailender,Spinner,196,3887,95,120,V Chakravarthy,80.00M,30,1993-06-28,India
KKR,10,Capped,Domestic,All_Rounder,Right,Opener,Seamer,16,370,3,138,Venkatesh Iyer,80.00M,27,1996-07-22,India
KKR,9.5,Capped,Domestic,All_Rounder,Right,Middle,Spinner,77,1822,8,132,Nitish Rana,80.00M,32,1991-12-09,India
KKR,10,Capped,Overseas,Bowler,Right,Tailender,Seamer,37,344,44,142,Patt Cumins,72.50M,34,1989-05-24,Australia
KKR,8,Uncapped,Domestic,All_Rounder,Right,Tailender,Seamer,26,50,25,101,Shivam Mavi,72.50M,24,1999-03-27,India
KKR,10,Capped,Overseas,Batter,Left,Middle,Spinner,134,1080,143,161,Sunil Narine,60.00M,35,1989-02-02,West Indies
